Universidad,Tipo,Especialidad.SubEspecialidad,Modalidad,Serum,SNCDS,X1er.Niv.,X5to.Sup.,Prom.Pre,ENAM,Examen,Factor.A.,Nota.Final,Sede
UNMSM,Esp.,DERMATOLOGIA,Libre,10,NA,NA,1,1.761,1,43.2,15.2,72.161,NA
USMP,Esp.,CIRUGIA PEDIATRICA,Libre,6,NA,NA,NA,1.74,1,40.8,15.2,64.74,NA
CENTRO 1,Sub.,NEONATOLOGIA,Libre,10,NA,NA,NA,1.787,NA,56,5.6,73.387,Hospital Alberto Sabogal Sologuren
UNMSM,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,NA,1.928,1.5,55.6,15.2,84.228,Hospital Nacional Dos de Mayo
UNPRG,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,2,NA,NA,NA,3.368,NA,43.6,15.2,64.168,NA
UPCH,Esp.,CIRUGIA DE TORAX Y CARDIOVASCULAR,Libre,8,NA,NA,1,1.869,1,50,15.2,77.069,NA
UNMSM,Esp.,UROLOGIA,Libre,10,NA,NA,NA,1.868,1.5,44,15.2,72.568,NA
UNPRG,Esp.,CIRUGIA GENERAL,Libre,8,NA,NA,NA,1.739,1,44.4,15.2,70.339,NA
UPCH,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.69,1.5,52.8,15.2,81.19,Hospital Nacional Cayetano Heredia
UPAO,Esp.,CIRUGIA PLASTICA,Libre,10,NA,NA,NA,1.778,1,42.8,15.2,70.778,NA
URP,Esp.,NEUROCIRUGIA,Libre,10,NA,NA,1,1.951,1.5,57.6,15.2,87.251,Hospital Nacional Hipólito Unanue
URP,Esp.,PATOLOGIA CLINICA,Libre,6,NA,NA,NA,1.538,NA,32.4,15.2,55.138,NA
URP,Esp.,CIRUGIA GENERAL,Libre,6,NA,NA,NA,1.719,NA,41.2,15.2,64.119,NA
UNPRG,Esp.,GASTROENTEROLOGIA,Libre,10,NA,1,NA,1.56,NA,28.4,15.2,56.16,NA
UPCH,Esp.,OFTALMOLOGIA,Libre,10,NA,NA,1,1.956,2,55.6,15.2,85.756,Hospital Nacional Arzobispo Loayza
URP,Esp.,PEDIATRIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,NA,4,NA,2.919,NA,25.6,21.2,63.719,Hospital María Auxiliadora
URP,Esp.,RADIOLOGIA,Libre,8,NA,NA,NA,1.728,NA,33.6,15.2,58.528,NA
UNSLGI,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.75,NA,30.8,15.2,57.75,NA
UPCH,Esp.,PSIQUIATRIA,Libre,10,NA,3,NA,1.721,NA,34,15.2,63.921,NA
UPAO,Esp.,DERMATOLOGIA,Libre,8,NA,NA,NA,1.529,NA,28.8,15.2,53.529,NA
UNMSM,Esp.,CIRUGIA GENERAL,Libre,6,NA,NA,NA,1.477,NA,28.8,15.2,51.477,NA
UNT,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,6,NA,NA,1,1.888,1,53.2,15.2,78.288,Hospital Regional de Loreto Felipe Santiago Arriola Iglesias
UNFV,Esp.,CARDIOLOGIA,Libre,8,NA,NA,NA,1.825,2,60.4,15.2,87.425,Hospital de Emergencias Grau
UNMSM,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,NA,1.915,1.5,51.6,15.2,80.215,NA
UPCH,Esp.,MEDICINA DE ENFERMEDADES INFECCIOSAS Y TROPIC,LLEiSbre,10,NA,NA,NA,1.766,1.5,43.2,15.2,71.666,Centro Medico Naval Cirujano Mayor Santiago Tavara
USMP,Esp.,CARDIOLOGIA,Libre,10,NA,NA,1,2.013,1.5,50.4,15.2,80.113,NA
URP,Esp.,MEDICINA FISICA Y DE REHABILITACION,Cautiva/ESSALUD,10,NA,4,NA,3.54,NA,41.6,21.2,80.34,Hospital Nacional Edgardo Rebagliati Martins
UNSA,Esp.,REUMATOLOGIA,Libre,8,NA,NA,NA,1.631,NA,24,15.2,48.831,NA
URP,Esp.,CIRUGIA DE TORAX Y CARDIOVASCULAR,Libre,6,NA,NA,NA,1.81,1,40.8,15.2,64.81,NA
UNA,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,8,NA,NA,NA,2.34,NA,40.4,15.2,65.94,NA
UPCH,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,8,NA,NA,NA,1.653,1,39.6,15.2,65.453,NA
UNSA,Esp.,UROLOGIA,Libre,10,NA,NA,NA,1.683,1.5,37.6,15.2,65.983,NA
UNMSM,Esp.,ANESTESIOLOGIA,Libre,8,NA,NA,NA,1.798,1,44,15.2,69.998,Instituto Nacional Materno Perinatal
USMP,Esp.,PEDIATRIA,Libre,6,NA,NA,NA,1.801,NA,36,15.2,59.001,NA
UNMSM,Esp.,UROLOGIA,Libre,10,NA,NA,NA,1.816,2,55.6,15.2,84.616,Hospital Nacional Daniel Alcides Carrión
USMP,Esp.,NEUROLOGIA,Libre,6,NA,4,NA,1.739,1,45.6,15.2,73.539,NA
UPCH,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,1,1.79,1,38.8,15.2,67.79,NA
URP,Esp.,CIRUGIA PLASTICA,Libre,10,NA,NA,NA,1.846,1.5,52.8,15.2,81.346,NA
UNT,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,NA,1.59,NA,45.2,15.2,71.99,NA
UPCH,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,8,NA,NA,1,1.872,NA,33.6,15.2,59.672,NA
URP,Esp.,PSIQUIATRIA,Libre,10,NA,NA,1,1.875,1,42.8,15.2,71.875,NA
UNMSM,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,10,NA,NA,NA,1.849,1,46.4,15.2,74.449,NA
UNFV,Esp.,MEDICINA INTENSIVA,Libre,10,NA,NA,NA,1.68,NA,43.6,15.2,70.48,Hospital Nacional Hipólito Unanue
UPCH,Esp.,MEDICINA DE ENFERMEDADES INFECCIOSAS Y TROPIC,LLEiSbre,10,NA,NA,NA,1.643,1,44,15.2,71.843,Hospital Nacional Cayetano Heredia
USMP,Esp.,CIRUGIA GENERAL,Libre,8,NA,NA,NA,1.473,NA,34,15.2,58.673,NA
UNMSM,Esp.,CIRUGIA GENERAL,Libre,6,NA,NA,NA,1.514,1,42,15.2,65.714,NA
UNMSM,Esp.,ADMINISTRACION Y GESTION EN SALUD,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,NA,4,NA,1.833,1,40.4,21.2,78.433,Hospital Nacional Cayetano Heredia
UNMSM,Esp.,RADIOLOGIA,Libre,10,NA,NA,NA,1.766,1,39.2,15.2,67.166,NA
URP,Esp.,OTORRINOLARINGOLOGIA,Libre,10,NA,NA,NA,1.871,1.5,59.6,15.2,88.171,Hospital Nacional Guillermo Almenara Irigoyen
UNSLGI,Esp.,RADIOLOGIA,Libre,6,NA,1,NA,1.708,NA,32.4,15.2,56.308,NA
UNC,Esp.,ADMINISTRACION Y GESTION EN SALUD,Libre,10,NA,1,NA,1.673,NA,26,15.2,53.873,NA
UNT,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,NA,1.917,1,53.2,15.2,81.317,Hospital Belén de Trujillo
UNPRG,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,10,NA,1,NA,1.776,1,47.2,15.2,76.176,NA
UNMSM,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.955,1.5,52,15.2,80.655,Hospital Nacional Daniel Alcides Carrión
UNT,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.579,NA,36.8,15.2,63.579,Hospital de Especialidades Basicas La Noria
UNMSM,Esp.,MEDICINA INTENSIVA,Libre,8,NA,NA,NA,1.657,NA,33.2,15.2,58.057,NA
UCSM,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,6,NA,4,NA,1.631,NA,47.6,15.2,74.431,NA
USMP,Esp.,GASTROENTEROLOGIA,Libre,8,NA,NA,NA,1.86,1,47.6,15.2,73.66,NA
UCSM,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,8,NA,NA,NA,1.674,1,40,15.2,65.874,NA
URP,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,10,NA,NA,1,1.796,1.5,44,15.2,73.496,NA
CENTRO 1,Sub.,GINECOLOGIA ONCOLOGICA,Libre,10,NA,NA,NA,1.691,1.5,56.8,5.6,75.591,NA
UNSLGI,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,10,NA,NA,NA,2.133,NA,30.4,15.2,57.733,NA
UNMSM,Esp.,ENDOCRINOLOGIA,Cautiva/P.N.P.,2,NA,4,NA,1.571,NA,36.4,21.2,65.171,Hospital Central PNP
UNC,Esp.,ADMINISTRACION Y GESTION EN SALUD,Libre,8,NA,NA,NA,1.772,NA,38,15.2,62.972,Hospital Regional Docente Cajamarca
USMP,Esp.,MEDICINA DE EMERGENCIAS Y DESASTRES,Libre,10,NA,NA,NA,1.555,1,26.4,15.2,54.155,NA
USMP,Esp.,OFTALMOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,8,NA,4,NA,1.431,NA,30.8,21.2,65.431,Hospital Regional de Salud Cusco DIRESA Cusco (Ex H. Apoyo Departamental)
UNMSM,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,8,NA,NA,NA,1.845,1,38.8,15.2,64.845,NA
UPCH,Esp.,PEDIATRIA,Libre,8,NA,NA,NA,1.943,1,42.4,15.2,68.543,NA
USMP,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,NA,1.603,1.5,48.8,15.2,77.103,NA
USMP,Esp.,RADIOLOGIA,Libre,10,NA,NA,1,0,NA,36,15.2,62.2,NA
URP,Esp.,OTORRINOLARINGOLOGIA,Libre,10,NA,NA,NA,1.689,1.5,54.8,15.2,83.189,NA
UNSLGI,Esp.,NEFROLOGIA,Libre,6,NA,NA,1,1.822,NA,37.2,15.2,61.222,NA
UNMSM,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.839,1,35.2,15.2,63.239,NA
UNFV,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,8,NA,NA,1,1.86,2,48,15.2,76.06,NA
UNFV,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,8,NA,NA,NA,1.778,1,37.6,15.2,63.578,NA
UCSM,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,10,NA,1,NA,1.647,1,48.4,15.2,77.247,Hospital Regional Honorio Delgado Espinoza - Arequipa
UNPRG,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,8,NA,NA,1,2.095,2,59.2,15.2,87.495,Hospital Nacional Almanzor Aguinaga Asenjo - Chiclayo
URP,Esp.,CIRUGIA PLASTICA,Libre,10,NA,NA,NA,1.874,1,48,15.2,76.074,NA
CENTRO 1,Esp.,RADIOTERAPIA,Libre,10,NA,NA,NA,1.8,1,41.6,15.2,69.6,Hospital Nacional Edgardo Rebagliati Martins
UPCH,Esp.,GERIATRIA,Libre,10,NA,1,NA,2.225,NA,37.2,15.2,65.625,NA
UPCH,Esp.,ENDOCRINOLOGIA,Libre,8,NA,NA,NA,2.11,1,40.4,15.2,66.71,NA
UNMSM,Esp.,GINECOLOGIA Y OBSTETRICIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,8,NA,4,NA,1.744,NA,47.2,21.2,82.144,Instituto Nacional Materno Perinatal
UNMSM,Esp.,GINECOLOGIA Y OBSTETRICIA,Cautiva/P.N.P.,6,NA,NA,NA,1.425,1,38.8,21.2,68.425,Hospital Central PNP
USMP,Esp.,OTORRINOLARINGOLOGIA,Libre,10,NA,NA,NA,1.626,NA,38,15.2,64.826,NA
UNMSM,Esp.,RADIOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,0,4,NA,NA,3.304,NA,34.4,21.2,62.904,NA
USMP,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,10,NA,NA,1,1.796,1.5,50.4,15.2,79.896,Hospital María Auxiliadora
UNPRG,Esp.,PATOLOGIA CLINICA,Libre,8,NA,NA,NA,1.776,1.5,46,15.2,72.476,NA
UPSJB,Esp.,DERMATOLOGIA,Libre,10,NA,NA,NA,1.736,1,40,15.2,67.936,NA
UNMSM,Esp.,UROLOGIA,Libre,10,NA,1,NA,1.746,1,49.2,15.2,78.146,NA
UNFV,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,10,NA,1,NA,1.717,NA,56.8,15.2,84.717,Hospital Alberto Sabogal Sologuren
UNP,Esp.,PEDIATRIA,Libre,6,NA,1,NA,1.656,1,45.2,15.2,70.056,NA
UNMSM,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,NA,1.881,2,54,15.2,83.081,NA
UPCH,Esp.,ANESTESIOLOGIA,Libre,8,NA,NA,1,1.97,1.5,59.2,15.2,86.87,Hospital Nacional Edgardo Rebagliati Martins
UNP,Esp.,CIRUGIA GENERAL,Libre,10,NA,1,1,1.866,NA,47.2,15.2,76.266,Hospital II Santa Rosa Piura
UNMSM,Esp.,NEFROLOGIA,Libre,10,NA,NA,NA,1.78,2,52.8,15.2,81.78,Hospital Nacional Edgardo Rebagliati Martins
USMP,Esp.,CIRUGIA GENERAL,Libre,6,NA,NA,NA,1.548,NA,29.2,15.2,51.948,NA
UNFV,Esp.,ANATOMIA PATOLOGICA,Libre,10,NA,NA,1,1.759,1.5,56,15.2,85.459,Hospital Nacional Edgardo Rebagliati Martins
UNA,Esp.,PEDIATRIA,Libre,8,NA,NA,NA,1.621,NA,36,15.2,60.821,NA
UNFV,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.813,1.5,48,15.2,76.513,NA
UPCH,Esp.,CIRUGIA PLASTICA,Libre,8,NA,NA,NA,1.738,NA,47.6,15.2,72.538,NA
UCSM,Esp.,HEMATOLOGIA,Libre,6,NA,NA,NA,1.875,NA,41.2,15.2,64.275,NA
UNMSM,Esp.,PEDIATRIA,Libre,6,NA,2,NA,2.14,NA,30.4,15.2,55.74,NA
UPCH,Esp.,MEDICINA ONCOLOGICA,Libre,8,NA,NA,NA,1.78,1,32,15.2,57.98,NA
UPCH,Esp.,OFTALMOLOGIA,Libre,10,NA,NA,NA,1.883,1.5,50.8,15.2,79.383,NA
UNSA,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.571,1,47.6,15.2,75.371,Hospital Regional Honorio Delgado Espinoza - Arequipa
UNSLGI,Esp.,NEFROLOGIA,Libre,10,NA,NA,1,1.776,1.5,53.2,15.2,82.676,"Hospital IV Augusto Hernández Mendoza, Ex H. Felix Torrealva Gutierrez - Ica"
UPAO,Esp.,PEDIATRIA,Libre,8,NA,NA,NA,1.68,1,34.8,15.2,60.68,NA
URP,Esp.,ADMINISTRACION Y GESTION EN SALUD,Libre,10,NA,NA,NA,1.73,1,41.2,15.2,69.13,NA
UNFV,Esp.,DERMATOLOGIA,Libre,8,NA,NA,NA,1.798,1,38.8,15.2,64.798,NA
URP,Esp.,NEUROCIRUGIA,Libre,10,NA,NA,NA,1.643,1,57.2,15.2,85.043,NA
URP,Esp.,MEDICINA DE ENFERMEDADES INFECCIOSAS Y TROPIC,LLEiSbre,10,NA,NA,NA,1.601,1,40.4,15.2,68.201,Hospital Nacional Hipólito Unanue
URP,Esp.,CIRUGIA GENERAL,Cautiva/ESSALUD,10,NA,4,NA,2.2,NA,40,21.2,77.4,NA
UNP,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.775,1,48,15.2,75.975,Hospital II Sullana Piura
UNFV,Esp.,CARDIOLOGIA,Libre,10,NA,NA,NA,1.821,1,47.6,15.2,75.621,NA
UNMSM,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,10,NA,1,NA,1.62,NA,34.8,15.2,62.62,NA
USMP,Esp.,NEUROCIRUGIA,Libre,6,NA,NA,NA,1.885,1,40.4,15.2,64.485,NA
UCSM,Esp.,UROLOGIA,Libre,10,NA,NA,NA,1.729,2,58.4,15.2,87.329,Hospital Carlos Alberto Seguín Escobedo - Arequipa
URP,Esp.,ANESTESIOLOGIA,Libre,6,NA,2,NA,1.811,1,47.2,15.2,73.211,NA
USMP,Esp.,DERMATOLOGIA,Libre,10,NA,NA,1,1.924,1.5,54.8,15.2,84.424,Hospital Nacional Dos de Mayo
UNSLGI,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,2,NA,NA,NA,1.55,NA,45.2,15.2,63.95,Hospital Santa María del Socorro ICA
UNMSM,Esp.,ENDOCRINOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,6,NA,NA,NA,1.796,1,33.2,21.2,63.196,Hospital II Santa Rosa Piura
UPCH,Esp.,MEDICINA ONCOLOGICA,Libre,10,NA,NA,NA,1.783,1,46.4,15.2,74.383,NA
UNCP,Esp.,PEDIATRIA,Cautiva/MINSA en sedes de Regiones mas R. Lima y R. Callao/JUNIN,10,NA,4,NA,3.499,NA,34.4,21.2,73.099,Hospital Regional Docente Materno Infantil - El Carmen Huancayo
UNMSM,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.718,1,46.4,15.2,74.318,NA
URP,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,6,NA,NA,NA,1.752,1,48.4,15.2,72.352,NA
UNSA,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.718,1,45.2,15.2,73.118,NA
USMP,Esp.,CIRUGIA PEDIATRICA,Libre,6,NA,1,NA,1.668,1,48.4,15.2,73.268,NA
URP,Esp.,PSIQUIATRIA,Libre,8,NA,NA,NA,1.686,1,54.4,15.2,80.286,Hospital Hermilio Valdizan
URP,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,NA,1.526,1,33.6,15.2,61.326,NA
UNMSM,Esp.,CIRUGIA DE TORAX Y CARDIOVASCULAR,Libre,10,NA,NA,NA,1.755,1,44,15.2,71.955,NA
USMP,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,8,NA,NA,NA,2.064,1.5,55.6,15.2,82.364,Hospital Nacional Arzobispo Loayza
UPCH,Esp.,CIRUGIA ONCOLOGICA,Libre,10,NA,1,NA,3.75,NA,45.2,15.2,75.15,NA
USMP,Esp.,PEDIATRIA,Libre,6,NA,NA,NA,1.792,1,47.6,15.2,71.592,NA
CENTRO 1,Sub.,RADIOLOGIA INTERVENCIONISTA,Libre,8,NA,NA,NA,1.603,NA,60,5.6,75.203,Hospital Nacional Edgardo Rebagliati Martins
UNMSM,Esp.,GASTROENTEROLOGIA,Cautiva/ESSALUD,10,NA,4,NA,3.574,NA,50.8,21.2,89.574,Hospital Nacional Edgardo Rebagliati Martins
UNT,Esp.,RADIOLOGIA,Libre,6,NA,NA,1,1.677,1,46,15.2,70.877,Hospital Regional Docente de Trujillo
UPCH,Esp.,NEUMOLOGIA,Libre,8,NA,NA,NA,1.711,NA,44.4,15.2,69.311,NA
UNSAAC,Esp.,PEDIATRIA,Cautiva/MINSA en sedes de Regiones mas R. Lima y R. Callao/CUSCO,10,0,NA,NA,3.311,NA,30.4,21.2,64.911,NA
UNMSM,Esp.,CIRUGIA DE CABEZA Y CUELLO,Libre,10,NA,NA,NA,1.931,1.5,44.4,15.2,73.031,NA
UNFV,Esp.,OTORRINOLARINGOLOGIA,Libre,10,NA,NA,NA,1.751,NA,56,15.2,82.951,Hospital Nacional Sergio Bernales
URP,Esp.,ANESTESIOLOGIA,Libre,10,NA,NA,NA,1.58,NA,35.2,15.2,61.98,NA
UNSA,Esp.,ANESTESIOLOGIA,Libre,8,NA,NA,NA,1.721,1,49.6,15.2,75.521,Hospital III Goyeneche - Arequipa
CENTRO 2,Esp.,MEDICINA FAMILIAR Y COMUNITARIA,Libre,10,NA,2,NA,1.709,NA,36,15.2,64.909,Hospital Nacional Guillermo Almenara Irigoyen
UNSLGI,Esp.,PEDIATRIA,Libre,8,NA,NA,NA,1.719,NA,33.2,15.2,58.119,NA
UNMSM,Esp.,MEDICINA DE EMERGENCIAS Y DESASTRES,Libre,10,NA,4,NA,1.713,NA,38,15.2,68.913,Hospital Nacional Dos de Mayo
UPCH,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,6,NA,NA,NA,1.823,1,42,15.2,66.023,NA
UNSA,Esp.,NEFROLOGIA,Libre,10,NA,NA,NA,1.661,1,43.2,15.2,71.061,NA
UPAO,Esp.,CARDIOLOGIA,Libre,10,NA,NA,1,1.778,1.5,49.2,15.2,78.678,NA
USMP,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,8,NA,NA,1,1.799,1,60,15.2,86.999,Hospital de Emergencias Grau
UNSA,Esp.,OFTALMOLOGIA,Libre,8,NA,NA,1,1.867,1.5,39.2,15.2,66.767,NA
UPAO,Esp.,RADIOLOGIA,Libre,10,NA,NA,NA,1.646,NA,41.6,15.2,68.446,NA
URP,Esp.,ANESTESIOLOGIA,Libre,10,NA,NA,NA,1.728,1.5,52.4,15.2,80.828,Hospital Alberto Sabogal Sologuren
UPCH,Esp.,DERMATOLOGIA,Libre,10,NA,NA,NA,1.704,1,48,15.2,75.904,NA
UNFV,Esp.,CIRUGIA DE CABEZA Y CUELLO,Libre,10,NA,NA,NA,1.63,1,52.8,15.2,80.63,Hospital Nacional Arzobispo Loayza
UNMSM,Esp.,PSIQUIATRIA,Libre,8,NA,NA,NA,1.703,1,37.6,15.2,63.503,NA
UNMSM,Esp.,MEDICINA INTERNA,Libre,10,NA,NA,NA,1.78,1.5,50.8,15.2,79.28,Hospital Nacional Guillermo Almenara Irigoyen
UNSAAC,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,2,NA,2.075,NA,39.6,15.2,68.875,NA
UPCH,Esp.,ENDOCRINOLOGIA,Libre,10,NA,NA,NA,2.127,1,46.8,15.2,75.127,NA
URP,Esp.,RADIOLOGIA,Libre,0,4,4,NA,3.752,NA,46.4,15.2,73.352,NA
UNFV,Esp.,ANESTESIOLOGIA,Libre,6,NA,NA,NA,1.628,NA,46.4,15.2,69.228,NA
UPCH,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.921,1.5,50,15.2,78.621,Hospital Nacional Cayetano Heredia
UNMSM,Esp.,DERMATOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,0,4,NA,3.405,NA,40.8,21.2,79.405,Hospital Nacional Daniel Alcides Carrión
UNSAAC,Esp.,NEFROLOGIA,Libre,10,NA,NA,NA,1.831,1,52,15.2,80.031,Hospital Nacional Adolfo Guevara Velasco HN Sur Este Cusco
UNSA,Esp.,RADIOLOGIA,Libre,0,NA,NA,NA,1.654,1.5,34,15.2,52.354,NA
UNPRG,Esp.,RADIOLOGIA,Libre,6,NA,NA,NA,2.034,1.5,45.6,15.2,70.334,NA
UNMSM,Esp.,GERIATRIA,Libre,10,NA,NA,NA,1.776,1,38.8,15.2,66.776,Hospital Nacional Arzobispo Loayza
UNT,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,NA,1.757,1,52.4,15.2,80.357,Hospital Belén de Trujillo
UNT,Esp.,CIRUGIA GENERAL,Libre,8,NA,NA,NA,1.618,1.5,49.2,15.2,75.518,Hospital Belén de Trujillo
USMP,Esp.,CIRUGIA ONCOLOGICA,Libre,8,NA,NA,NA,1.934,NA,46,15.2,71.134,NA
UNMSM,Esp.,GERIATRIA,Libre,6,NA,NA,NA,1.823,NA,33.6,15.2,56.623,NA
UNPRG,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.718,1,50.8,15.2,78.718,NA
UNT,Esp.,REUMATOLOGIA,Libre,10,NA,NA,NA,1.602,1.5,56,15.2,84.302,Hospital Víctor Lazarte Echegaray - Trujillo
UNSA,Esp.,PATOLOGIA CLINICA,Libre,8,NA,NA,NA,2,1,49.6,15.2,75.8,Hospital Regional Honorio Delgado Espinoza - Arequipa
UNP,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,10,NA,NA,NA,1.665,NA,28.8,15.2,55.665,NA
UCSM,Esp.,CIRUGIA DE CABEZA Y CUELLO,Libre,8,NA,NA,1,1.846,1.5,55.6,15.2,83.146,Hospital Carlos Alberto Seguín Escobedo - Arequipa
URP,Esp.,CIRUGIA ONCOLOGICA,Libre,8,NA,NA,NA,1.731,1.5,47.2,15.2,73.631,Hospital Alberto Sabogal Sologuren
CENTRO 1,Sub.,PATOLOGIA ONCOLOGICA,Libre,10,NA,NA,1,2.085,2,44.8,5.6,65.485,Instituto Nacional de Enfermedades Neoplásicas
UNMSM,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,10,NA,NA,NA,1.981,1,43.6,15.2,71.781,NA
USMP,Esp.,PEDIATRIA,Libre,8,NA,NA,NA,1.773,1.5,56,15.2,82.473,Hospital Nacional Guillermo Almenara Irigoyen
UPCH,Esp.,CIRUGIA DE CABEZA Y CUELLO,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,NA,NA,NA,2.998,NA,37.2,21.2,71.398,Instituto Nacional de Enfermedades Neoplásicas
UNPRG,Esp.,ANESTESIOLOGIA,Libre,10,NA,NA,NA,1.706,1,49.6,15.2,77.506,Hospital Regional Lambayeque
UNMSM,Esp.,REUMATOLOGIA,Libre,10,NA,NA,1,1.988,2,52.4,15.2,82.588,Hospital María Auxiliadora
UNMSM,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,10,NA,NA,NA,3.031,NA,34,15.2,62.231,NA
CENTRO 1,Sub.,PSIQUIATRIA DEL NIÑO Y DEL ADOLESCENTE,Libre,8,NA,NA,NA,1.856,1.5,60.8,5.6,77.756,Hospital Nacional Edgardo Rebagliati Martins
UPCH,Esp.,CIRUGIA PLASTICA,Libre,6,4,NA,NA,3.482,NA,42.8,15.2,71.482,NA
URP,Esp.,ANESTESIOLOGIA,Libre,6,NA,1,NA,1.724,1,49.6,15.2,74.524,NA
URP,Esp.,ADMINISTRACION Y GESTION EN SALUD,Libre,8,NA,NA,NA,1.73,1.5,55.2,15.2,81.63,Hospital Nacional Hipólito Unanue
URP,Esp.,PSIQUIATRIA,Libre,6,NA,NA,NA,1.856,NA,36.4,15.2,59.456,NA
USMP,Esp.,CARDIOLOGIA,Libre,10,NA,NA,1,3.745,NA,41.2,15.2,71.145,NA
USMP,Esp.,ANESTESIOLOGIA,Libre,6,NA,NA,NA,1.91,1,52,15.2,76.11,Centro Medico Naval Cirujano Mayor Santiago Tavara
UCV,Esp.,RADIOLOGIA,Libre,6,NA,NA,NA,1.673,NA,31.6,15.2,54.473,NA
UPCH,Esp.,OFTALMOLOGIA,Libre,8,NA,NA,NA,2.255,NA,34.4,15.2,59.855,NA
UPCH,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,1,1.963,NA,53.6,15.2,81.763,NA
UNMSM,Esp.,PSIQUIATRIA,Libre,10,NA,NA,NA,1.59,NA,37.2,15.2,63.99,NA
UNFV,Esp.,DERMATOLOGIA,Libre,10,NA,NA,NA,3.498,NA,47.2,15.2,75.898,Hospital San Juan de Lurigancho
CENTRO 3,Sub.,CIRUGIA PLASTICA,Libre,8,NA,NA,NA,1.722,1.5,51.2,5.6,68.022,NA
UNMSM,Esp.,OFTALMOLOGIA,Libre,10,NA,NA,1,2.061,2,60.8,15.2,91.061,Instituto Nacional de Oftalmología
UNPRG,Esp.,MEDICINA ONCOLOGICA,Libre,6,NA,1,NA,1.916,NA,30,15.2,54.116,NA
UPSJB,Esp.,OTORRINOLARINGOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,NA,4,NA,3.42,NA,33.6,21.2,72.22,Hospital Nacional Sergio Bernales
